heat_transfer_coefficient,tool_thickness,max_temperature
72.65887428,0.040656497,180.08
55.57436761,0.005505699,205.74
79.49834133,0.034364972,181.13
36.52273735,0.023360532,182.82
73.31198649,0.011880604,194.58
83.41055832,0.035991275,180.91
87.26233983,0.038950233,180.53
95.07130828,0.035592995,181.41
64.94882737,0.048008512,179.99
82.70140457,0.04228877,180.09
94.60278727,0.049974882,180.04
76.23142909,0.032819612,181.39
56.94121052,0.001169396,217.21
76.45898723,0.007588152,199.79
86.90800483,0.015428989,191.13
72.77885068,0.040724961,180.08
67.10567898,0.03256734,181.1
70.97203717,0.037257326,180.32
84.65916274,0.031412311,182.16
22.97217154,0.014998728,188.6
12.05067211,0.029610651,173.53
99.09272041,0.049922942,180.04
17.12922251,0.017902176,183.96
43.62868299,0.012225011,194.13
42.03333026,0.023727259,183.07
35.76633537,0.01272419,193.08
65.09083023,0.039174556,180.08
17.91154615,0.033648512,176.85
28.42142006,0.030355176,179.99
44.94912429,0.015925619,189.45
81.26659188,0.02702295,183.57
89.79936872,0.038110343,180.72
99.72685655,0.016138072,190.68
38.42360099,0.02729405,181.1
29.5010552,0.019974957,184.37
98.0048772,0.004419434,201.85
16.72903932,0.021385435,180.86
48.33642651,0.00541632,207.12
91.79050454,0.046102125,180.06
99.34361278,0.042742828,180.32
59.23190535,0.030306921,181.39
36.80671782,0.008364965,201.26
83.7912303,0.024540815,184.81
51.53204056,0.012933466,193.31
79.67508726,0.027493727,183.33
61.94247316,0.024411241,183.89
83.66423696,0.031368177,182.14
99.90516459,0.020356151,187.82
70.17320479,0.048768681,180.01
40.38160684,0.022448517,183.69
55.86259696,0.047478799,179.92
38.5616626,0.034760865,180.01
30.49331838,0.029962157,180.07
71.02683167,0.03150397,181.55
13.09130932,0.026748427,177.02
70.23966842,0.038628728,180.14
40.19852742,0.039003847,179.89
33.05197773,0.006224218,207.21
90.93172911,0.016867096,190.03
48.78321951,0.010142487,197.42
22.35501112,0.021274082,182.27
43.7176727,0.020444435,185.27
10.17553946,0.004572582,216.51
40.68984979,0.006025555,206.73
11.50894054,0.023533729,177.84
48.02886123,0.023459804,183.62
77.25286923,0.014532695,191.84
70.65619673,0.033126404,181.1
75.42303983,0.04282862,180.06
42.61878344,0.011029545,195.99
11.09995891,0.009346174,196.72
16.52120285,0.001927293,235.84
25.54644538,0.03273907,179.51
37.44133216,0.015080065,189.96
94.86749004,0.002579233,204.67
83.48187616,0.028573475,183.07
49.63883686,0.002999703,213.7
92.83784719,0.02817658,183.52
67.38903942,0.010472637,196.42
46.27235676,0.046928077,179.71
64.42252031,0.007528225,200.87
59.11968989,0.030643308,181.28
54.45059708,0.034904302,180.16
65.42841375,0.045052453,180.02
19.60646489,0.005518102,211.38
73.05418224,0.044529319,180.04
94.99668884,0.038813714,180.74
58.32618955,0.041444982,180.03
42.3615854,0.037503504,179.99
88.78824486,0.032115871,182.11
22.90303774,0.02896181,179.78
75.93298627,0.024145356,184.68
32.21143123,0.031247378,180.04
86.26110772,0.01516123,191.35
48.21270815,0.011429271,195.39
65.49379521,0.038880617,180.09
55.12296985,0.040261352,180.03
46.39302192,0.028628838,181.2
66.63403249,0.041874904,180.05
47.44365666,0.0095552,198.46
81.01790094,0.003537739,205.39
86.36974772,0.037719184,180.69
69.30033004,0.008170977,199.49
33.8364191,0.005388561,209.76
26.49959223,0.025110484,180.72
89.38296442,0.042207759,180.17
65.80590936,0.047026931,180.01
44.38563654,0.020642586,185.17
29.36160898,0.007798621,202.97
71.41260182,0.026366274,183.44
42.79632978,0.029475785,180.69
97.24466434,0.003391365,203.23
34.99960022,0.007006489,204.75
44.90552447,0.014723356,190.83
23.94415122,0.003483232,220.47
98.65867352,0.038395085,180.9
76.86318987,0.002693366,207.65
22.78064115,0.031086266,179.4
33.92363431,0.010237836,197.32
92.16355463,0.029234202,183.14
56.86531943,0.039969653,180.04
15.69529838,0.028824491,177.76
35.83451549,0.034840208,179.96
71.85800557,0.04398296,180.04
95.31005112,0.047700308,180.05
46.74393187,0.037979361,180.02
57.91970874,0.046654636,179.96
70.45018934,0.04007867,180.08
13.4741861,0.033836086,172.23
62.16781721,0.02296773,184.69
12.47844336,0.030468152,173.45
93.9321691,0.04471722,180.09
61.34015728,0.037772519,180.09
89.88782638,0.032380382,182.08
80.24259497,0.031083458,182.08
83.05426728,0.017033438,189.76
92.42119175,0.015405618,191.19
16.21479284,0.002054634,234.77
90.77979637,0.022225723,186.39
72.38275812,0.041970708,180.06
74.44588514,0.01376295,192.57
15.0736597,0.033452859,174.58
99.12552633,0.01707593,189.99
91.33427509,0.020258663,187.64
43.21687661,0.046782016,179.57
88.14613852,0.031144288,182.39
34.29820486,0.006310645,206.79
72.53751289,0.001810928,210.46
69.9294924,0.044657435,180.04
77.95286452,0.006093735,201.79
94.8944472,0.037649839,180.93
55.93955436,0.00340505,210.78
21.88782823,0.025545141,180.16
67.43782713,0.042551948,180.05
90.23746557,0.036062933,181.11
61.55419948,0.047632375,179.98
91.07442703,0.031203312,182.48
18.34706001,0.004133813,218.45
51.80284181,0.042039003,179.99
86.75383454,0.026266055,184.07
84.26836478,0.019752272,187.76
49.30099512,0.025617622,182.62
57.18397357,0.04301836,180.01
53.54837074,0.037072432,180.07
83.08860109,0.006344146,200.92
29.00733338,0.021627959,183.09
56.6059044,0.028285409,181.94
62.21445183,0.023017197,184.66
68.87966324,0.013718305,192.59
76.91657063,0.004936602,203.7
78.34189723,0.009749363,196.91
24.33636919,0.017648985,185.75
76.14276654,0.019183801,187.89
52.47343332,0.017285927,188.47
77.52807464,0.006258643,201.59
46.05591028,0.02282668,183.86
61.85238799,0.016794469,189.36
56.77343136,0.032301506,180.73
97.30479459,0.021557286,187.01
19.20227436,0.013800349,189.66
19.76331567,0.017796062,184.75
92.78548445,0.00639859,199.98
57.03320291,0.00871092,199.46
69.11263245,0.013147787,193.2
34.75501777,0.013256702,192.22
95.99193237,0.019538732,188.24
52.33546203,0.044565497,179.94
16.9783868,0.02644873,179.28
53.29183274,0.008654601,199.78
62.46754093,0.007279617,201.46
39.79832038,0.009074612,199.62
30.17520837,0.019300855,185
26.03961223,0.027822727,180.1
57.13343855,0.03069924,181.16
59.37408991,0.006440785,203.3
98.33586487,0.022493095,186.5
90.35303473,0.009033606,197.16
51.0845984,0.010969143,196.07
69.77635718,0.008467339,199.04
77.19879006,0.008882275,198.03
39.36586404,0.011200777,195.66
75.52670151,0.046397,180.04
37.55210605,0.002523148,219.9
75.67291968,0.042603845,180.06
59.19113486,0.035248418,180.22
82.33612679,0.00994573,196.51
38.66337622,0.028647442,180.64
84.81487845,0.025562767,184.33
72.84374335,0.036723155,180.46
68.70013668,0.013435853,192.89
81.70772379,0.014603399,191.81
40.90248034,0.017367541,187.69
89.52356927,0.016723091,190.12
53.16336149,0.044694199,179.95
22.03198687,0.026308818,180.07
82.77399209,0.021206097,186.73
32.09674949,0.033307788,179.93
88.09936167,0.041323737,180.24
95.59778092,0.039860512,180.6
78.12503805,0.016069507,190.46
34.03557426,0.014885661,189.94
30.89403411,0.012614027,192.95
62.04300416,0.032506278,180.91
81.45065223,0.019451968,187.88
12.27210984,0.031691203,172.07
33.7308269,0.02258361,183.01
42.16469715,0.031664784,180.18
34.43858727,0.014771791,190.12
30.56113978,0.02987478,180.08
66.85733447,0.037536398,180.16
80.5956943,0.012128845,194.2
28.23150205,0.013184318,191.83
99.2511501,0.02428753,185.54
45.15669309,0.003343329,213.92
95.70700397,0.002292628,204.93
38.85196987,0.003066346,217.03
92.30060875,0.033760282,181.78
94.24714674,0.025259655,184.86
69.6897268,0.036505124,180.4
39.69585583,0.027581823,181.1
88.51492307,0.045643724,180.06
98.09056271,0.004619828,201.6
70.50215082,0.012976121,193.39
49.85506432,0.0162841,189.33
85.23945153,0.016466405,190.25
44.57359767,0.041177229,179.91
62.70647681,0.002080851,212.49
17.43895291,0.034772508,175.99
81.7690075,0.002665911,206.76
90.87525096,0.015530669,191.08
43.39258524,0.036117082,180.03
22.30257176,0.001719133,233.61
98.12813656,0.009298768,196.52
99.79573446,0.047352522,180.06
28.59738214,0.033195517,179.75
52.15545203,0.044125556,179.95
24.62742422,0.028726396,179.95
90.40636539,0.02091616,187.19
14.53625622,0.029721603,176.41
11.70792947,0.015129317,185.26
33.18524335,0.008515551,201.04
60.05284957,0.00527488,205.53
81.36773716,0.039297381,180.33
80.18708307,0.043323602,180.06
26.6720305,0.012581635,192.65
55.71389094,0.026851094,182.45
91.22996858,0.02614318,184.31
32.52301122,0.01425373,190.65
64.56652619,0.013872749,192.38
24.7331214,0.025864713,180.28
94.07582201,0.019021078,188.54
44.71852809,0.006694151,204.51
73.98517844,0.043077019,180.05
21.65545321,0.021125288,182.23
76.05473254,0.030102349,182.22
86.08413285,0.00312924,205.24
69.519494,0.047975221,180.01
80.51053598,0.006882767,200.42
74.20000617,0.024493924,184.41
40.57506209,0.039740597,179.86
43.35763973,0.033547448,180.09
51.71940879,0.017426831,188.3
46.85521356,0.035822914,180.06
80.72673368,0.029952209,182.48
70.06416127,0.018827206,187.94
46.19859431,0.025202098,182.62
86.45388857,0.019246469,188.18
57.52962416,0.044043941,180
68.03191885,0.049844088,179.99
99.42778726,0.014022606,192.31
83.60409859,0.038230398,180.54
50.87876115,0.016625002,189.04
86.50331686,0.046604647,180.05
79.0667754,0.020238335,187.24
85.00222801,0.033180774,181.65
59.73928785,0.025210272,183.37
66.38576223,0.041389143,180.05
63.98349852,0.005957146,203.64
72.06529506,0.035323522,180.69
36.12241331,0.003261387,217.18
40.06259603,0.015022157,190.2
97.90398446,0.047383702,180.06
71.52120972,0.021323863,186.18
33.37299891,0.012002472,194.1
39.47812691,0.032942407,180.08
41.24332842,0.041240958,179.81
77.45087927,0.047774611,180.03
65.21582965,0.023541776,184.51
66.15784844,0.036536616,180.27
97.48796332,0.03942169,180.7
60.8120089,0.045778,180
60.99532604,0.027903302,182.29
80.01171263,0.025440708,184.19
60.64086695,0.010059163,197.2
17.56236923,0.002264159,231.99
74.11950182,0.028900274,182.56
75.27219211,0.048115951,180.02
15.14083942,0.030659148,176.37
78.26294098,0.017677436,189.12
90.62262066,0.007409935,198.96
71.3082821,0.037159776,180.34
53.67385664,0.02799347,181.89
10.41573547,0.003808518,221.73
85.12112187,0.030782986,182.38
57.37816265,0.020158514,186.31
29.66958735,0.001963472,226.88
73.54997892,0.028013803,182.87
26.45922087,0.001199725,234.81
20.13567279,0.010703533,195.47
77.71976585,0.036363698,180.68
31.73047601,0.012345834,193.44
27.70692915,0.02539515,180.75
90.70772162,0.029058803,183.15
26.18824138,0.029829261,179.93
45.78711677,0.028443011,181.23
27.26042606,0.01861201,185.25
73.73107136,0.046971961,180.03
35.19779154,0.032241041,180.05
84.00182894,0.031963433,181.96
47.08225265,0.016298823,189.17
58.12771673,0.033907705,180.43
63.79834242,0.002813562,210.33
27.98887103,0.004910004,212.63
73.1454036,0.013619423,192.72
18.56703002,0.014043626,189.17
73.81513519,0.026215604,183.61
70.85428489,0.018709536,188.06
23.47525619,0.003886029,218.44
20.56719944,0.011262343,194.36
55.401159,0.037446254,180.07
13.40713885,0.012114839,191.08
88.27921922,0.019095805,188.34
32.8966934,0.017549676,186.86
67.6428012,0.018951016,187.74
63.05079697,0.01790799,188.41
54.93749072,0.035024281,180.16
98.64558243,0.042936299,180.29
83.9159341,0.048226017,180.04
13.93653125,0.013054103,189.53
84.54451091,0.041576283,180.13
88.65098862,0.03507371,181.29
34.72655413,0.005897276,207.98
47.41176367,0.036209201,180.06
75.71871974,0.030186075,182.17
15.52614552,0.021176401,180.67
78.16351166,0.028120269,183.03
82.07825289,0.001035567,209.69
83.23327229,0.038553302,180.48
12.83418197,0.018192012,182.06
27.44706817,0.016745986,187.12
98.38120559,0.001285896,205.89
54.47116595,0.04940079,179.85
70.01469194,0.007964471,199.75
65.73505016,0.021637569,185.7
72.14883304,0.013360116,192.98
89.16833627,0.00582481,201.02
84.43084528,0.024202603,185.02
33.44364088,0.02589913,181.21
92.49697553,0.01717413,189.82
72.96833163,0.044193102,180.04
88.88192232,0.040191202,180.4
38.10884239,0.001651392,223.92
81.89709022,0.029174084,182.8
63.26998671,0.005694452,204.23
91.52696851,0.048664177,180.04
78.98605329,0.034592987,181.06
44.01804114,0.048159966,179.52
18.8993417,0.018443046,183.9
58.71422006,0.022412072,184.84
95.19056191,0.035492978,181.43
52.78486142,0.044333074,179.95
17.80298149,0.021815653,180.86
33.62652063,0.013645033,191.58
48.11126886,0.01614428,189.39
97.43799635,0.046817465,180.06
87.95799664,0.038067014,180.68
52.86856962,0.014443886,191.48
88.37893477,0.009223964,197.05
14.22852008,0.028836645,176.68
52.27253356,0.014126814,191.84
25.99717924,0.017488972,186.15
59.98103986,0.0028042,211.33
44.78320625,0.030541419,180.52
70.81517254,0.010773268,195.94
20.95354949,0.019620908,183.29
44.1549277,0.034015955,180.08
54.18785731,0.024683982,183.34
66.02246141,0.048531342,179.99
79.57347813,0.046883654,180.04
85.52205175,0.029545382,182.81
49.5843723,0.004804421,208.47
16.92279207,0.013915742,188.98
46.6715409,0.022290751,184.22
35.34650211,0.003893376,214.84
20.26992988,0.033062547,178.24
13.56437911,0.010079104,195.62
68.4176931,0.036929383,180.28
93.74968702,0.045915322,180.07
94.41087172,0.027168577,183.96
56.37945646,0.012039561,194.53
73.49350441,0.001499362,210.91
31.78495962,0.025838635,181.06
50.22448762,0.018216537,187.49
35.53874671,0.005653225,208.62
51.99136617,0.030264643,181.02
67.30397385,0.023674157,184.54
85.99313546,0.029778634,182.75
16.16951989,0.005931817,209.72
54.70249789,0.035431458,180.13
50.56631879,0.028096746,181.67
93.60094387,0.033804823,181.81
86.82651841,0.008094492,198.42
81.18560243,0.039557617,180.29
78.91069622,0.00431208,204.45
12.71729507,0.007724057,202.32
36.31735153,0.006847811,205.05
96.32049623,0.019837196,188.06
89.02873589,0.001593629,207.17
62.49976969,0.020197905,186.55
44.06860287,0.015219167,190.2
19.13778157,0.015991068,186.64
55.80167271,0.029630665,181.43
68.79269297,0.023816736,184.53
46.59489704,0.014652492,190.99
75.46458199,0.00407865,205.37
20.63654479,0.01279564,191.54
62.80506422,0.009829642,197.45
80.45299425,0.028764349,182.89
